,Category,Talktime,Price,Validity,Operator,Circle,Description,Country_geo_code,Is 2G,Is 3G,Is 4G,Currency,Is Roaming,Is International Roaming,Post_Quota_Speed,Post_Quota_speed_unit,Post_Quota_Price,Post_Quota_price_unit,Call_Cost,Call_Cost_Unit,Per_Call_unit,Call_dur,Call_cost_dur_unit,Validity_unit,Day_data_limit,Night_data_limit,Total_Data,Data_limit_unit,Handset_restrict,Handset_spec
0,exclusive-offer,82,77,28,Aircel,Andhra Pradesh,82 to 100 Talk time (Magic Recharge) +  5 Local A2A mins(1 Day),IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,days,0.0,0.0,0.0,GB,0,0
1,exclusive-offer,0,197,28,Aircel,Andhra Pradesh,4 GB+ 2 GB Night 3G/2G Data,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,2.0,4.0,GB,0,0
2,exclusive-offer,0,249,28,Aircel,Andhra Pradesh,Unlimited Local & STD Calls + 500 MB 3G/2G Data (T&C apply),IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,0.0,0.5,GB,0,0
3,full-talktime,73,69,28,Aircel,Andhra Pradesh,Rs.73 TT +  5 Local A2A mins(1 Day),IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,days,0.0,0.0,0.0,GB,0,0
4,full-talktime,70,70,0,Aircel,Andhra Pradesh,Full Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
5,full-talktime,82,77,28,Aircel,Andhra Pradesh,82 to 100 Talk time (Magic Recharge) +  5 Local A2A mins(1 Day),IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,days,0.0,0.0,0.0,GB,0,0
6,full-talktime,90,90,0,Aircel,Andhra Pradesh,Full Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
7,full-talktime,100,100,0,Aircel,Andhra Pradesh,Full Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
8,full-talktime,115,110,0,Aircel,Andhra Pradesh,Extra Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
9,full-talktime,135,120,0,Aircel,Andhra Pradesh,Extra Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
10,full-talktime,149,149,0,Aircel,Andhra Pradesh,TT-149 in Promo + Unlimited Loc & STD A-A calls + Other calls @30P/min,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
11,full-talktime,150,150,0,Aircel,Andhra Pradesh,Full Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
12,full-talktime,245,222,30,Aircel,Andhra Pradesh,Magic Recharge : 245 to 275 Talktime + 1p/2sec Loc & STD Calls,IN,0,0,0,INR,1,-1,0,,0,KB,60.0,Paisa,min,0,,days,0.0,0.0,0.0,GB,0,0
13,full-talktime,1000,786,30,Aircel,Andhra Pradesh,Talktime - 1000 + 300 MB + Special ISD pack,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,0.0,0.3,GB,0,0
14,full-talktime,1150,1000,0,Aircel,Andhra Pradesh,Extra Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
15,full-talktime,3500,3000,0,Aircel,Andhra Pradesh,Extra Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
16,full-talktime,6000,5000,0,Aircel,Andhra Pradesh,Extra Talktime,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,,0.0,0.0,0.0,GB,0,0
17,3g-data,0,22,28,Aircel,Andhra Pradesh,80 MB 3G/2G Data,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,0.0,0.08,GB,0,0
18,3g-data,0,24,3,Aircel,Andhra Pradesh,125 MB 2G/3G Data,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,0.0,0.12,GB,0,0
19,3g-data,0,37,5,Aircel,Andhra Pradesh,200 MB 3G/2G Data,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,0.0,0.2,GB,0,0
20,3g-data,0,41,3,Aircel,Andhra Pradesh,1 GB 3G Data,IN,0,0,0,INR,1,-1,0,,0,KB,0.0,Paisa,min,0,,Days,0.0,0.0,1.0,GB,0,0
